enterprise_id,week_start,week_of_year,inflow_total,inflow_upi,inflow_cash,txn_count,counterparty_count,top_cp_share,outflow_inventory,outflow_fixed,outflow_emi,outflow_total,net_cash_flow,closing_balance,mandi_price_index,rainfall_mm,festival_intensity
ENT0001,2024-07-22,30,15479.52,7007.88,8471.64,61,52,0.1992,9327.76,1789.29,2210.62,13327.67,2151.84,47520.77,95.99,110.8,0.062
ENT0001,2024-07-29,31,12793.83,5937.14,6856.69,57,47,0.1835,7720.55,1808.42,2210.62,11739.59,1054.24,38880.26,97.39,114.5,0.021
ENT0001,2024-08-05,32,12133.27,5854.95,6278.32,43,47,0.2468,7332.23,1808.78,2210.62,11351.63,781.64,34139.16,98.77,115.9,0.005
ENT0001,2024-08-12,33,14507.29,6253.79,8253.5,51,54,0.1862,8758.11,1852.56,2210.62,12821.28,1686.01,32525.26,97.78,102.2,0.004
ENT0001,2024-08-19,34,13741.51,6570.35,7171.16,46,49,0.1871,8309.39,1981.98,2210.62,12501.99,1239.52,31591.86,99.4,89.0,0.011
ENT0001,2024-08-26,35,11723.61,5795.46,5928.15,44,46,0.149,7112.31,1922.11,2210.62,11245.04,478.58,30553.73,102.69,76.6,0.029
ENT0001,2024-09-02,36,11854.01,4829.42,7024.59,44,43,0.1723,7198.49,1756.71,2210.62,11165.82,688.19,29979.85,103.7,72.1,0.066
ENT0001,2024-09-09,37,14335.52,6856.22,7479.3,50,49,0.2062,8708.45,1909.3,2210.62,12828.37,1507.15,30223.21,104.06,59.9,0.135
ENT0001,2024-09-16,38,14050.33,6910.58,7139.75,51,51,0.1565,8539.87,1905.67,2210.62,12656.15,1394.17,30179.92,104.63,45.6,0.25
ENT0001,2024-09-23,39,14978.15,6867.77,8110.38,47,52,0.1401,9116.67,1772.72,2210.62,13100.01,1878.14,30603.4,106.12,54.6,0.412
ENT0001,2024-09-30,40,17949.67,7774.9,10174.77,70,49,0.1839,10909.45,1925.65,2210.62,15045.72,2903.96,31873.69,104.59,44.5,0.612
ENT0001,2024-10-07,41,18620.13,9327.82,9292.31,66,58,0.2106,11325.56,1830.89,2210.62,15367.06,3253.07,33044.79,105.39,33.1,0.821
ENT0001,2024-10-14,42,21043.3,9256.35,11786.95,78,63,0.1841,12799.83,1719.99,2210.62,16730.44,4312.86,34771.33,105.42,14.5,1.007
ENT0001,2024-10-21,43,15553.9,7367.86,8186.05,52,49,0.1765,9485.91,1888.11,2210.62,13584.64,1969.26,34844.58,108.25,20.0,1.146
ENT0001,2024-10-28,44,19910.14,9577.51,10332.63,71,61,0.146,12144.42,1865.76,2210.62,16220.8,3689.34,36492.38,108.41,14.7,1.219
ENT0001,2024-11-04,45,20792.73,10539.81,10252.93,76,56,0.1923,12711.69,1824.73,2210.62,16747.05,4045.69,38062.27,110.9,10.3,1.198
ENT0001,2024-11-11,46,15859.82,7451.35,8408.48,58,54,0.1964,9685.01,1842.17,2210.62,13737.8,2122.02,38063.5,109.66,12.8,1.057
ENT0001,2024-11-18,47,16234.2,7650.83,8583.37,62,53,0.1476,9921.75,1780.45,2210.62,13912.81,2321.39,38286.65,110.56,7.4,0.808
ENT0001,2024-11-25,48,14596.61,7268.75,7327.86,60,47,0.2059,8924.61,1902.8,2210.62,13038.02,1558.59,37714.41,111.02,6.8,0.522
ENT0001,2024-12-02,49,14726.33,7781.27,6945.06,57,51,0.1985,8994.07,1841.62,2210.62,13046.31,1680.01,37135.38,109.81,5.4,0.282
ENT0001,2024-12-09,50,16502.83,9406.86,7095.97,65,55,0.2059,10079.89,1861.05,2210.62,14151.56,2351.27,36774.53,109.9,3.0,0.134
ENT0001,2024-12-16,51,16896.25,7761.45,9134.8,68,55,0.1949,10333.05,1878.88,2210.62,14422.55,2473.7,36792.46,111.28,0.0,0.082
ENT0001,2024-12-23,52,12743.61,6591.45,6152.16,49,48,0.1963,7788.23,1742.1,2210.62,11740.94,1002.67,35397.02,110.53,0.9,0.119
ENT0001,2024-12-30,1,15051.23,7200.08,7851.15,55,50,0.1936,9176.61,1764.92,2210.62,13152.15,1899.08,34595.01,107.93,0.0,0.205
ENT0001,2025-01-06,2,15320.13,8345.23,6974.9,60,49,0.2006,9336.45,1652.55,2210.62,13199.62,2120.51,34233.95,107.45,0.0,0.251
ENT0001,2025-01-13,3,14650.57,7166.98,7483.59,58,51,0.1468,8914.48,1898.48,2210.62,13023.58,1626.99,33687.23,105.79,10.1,0.201
ENT0001,2025-01-20,4,14131.28,7069.93,7061.35,55,52,0.1532,8590.43,1737.08,2210.62,12538.13,1593.15,33332.18,104.8,10.4,0.103
ENT0001,2025-01-27,5,13639.87,6902.55,6737.32,44,50,0.1685,8286.14,1857.9,2210.62,12354.66,1285.21,32907.76,104.1,8.2,0.035
ENT0001,2025-02-03,6,15634.18,8202.32,7431.85,54,49,0.1806,9472.5,1880.18,2210.62,13563.3,2070.88,32987.53,101.37,1.6,0.016
ENT0001,2025-02-10,7,14745.67,7959.92,6785.74,53,48,0.191,8911.22,1902.06,2210.62,13023.9,1721.77,32639.68,98.8,8.2,0.042
ENT0001,2025-02-17,8,12201.64,6684.32,5517.32,48,45,0.1897,7373.28,1737.8,2210.62,11321.69,879.95,32007.1,98.73,0.3,0.124
ENT0001,2025-02-24,9,15361.15,8238.63,7122.52,57,49,0.2056,9270.65,1839.62,2210.62,13320.89,2040.26,32285.0,97.48,1.6,0.242
ENT0001,2025-03-03,10,15809.51,7901.55,7907.96,63,52,0.2062,9505.76,2006.38,2210.62,13722.76,2086.76,32521.66,93.91,0.0,0.307
ENT0001,2025-03-10,11,14608.48,8249.69,6358.79,59,51,0.1658,8786.34,2010.8,2210.62,13007.76,1600.72,32400.37,94.2,3.3,0.26
ENT0001,2025-03-17,12,15395.56,8382.71,7012.85,62,50,0.188,9257.16,1939.02,2210.62,13406.8,1988.76,32663.8,93.94,1.7,0.171
ENT0001,2025-03-24,13,13784.28,8051.69,5732.58,56,50,0.1663,8276.52,1877.03,2210.62,12364.17,1420.11,32519.88,92.61,0.0,0.138
ENT0001,2025-03-31,14,13937.28,7403.89,6533.39,47,50,0.1794,8350.83,1755.17,2210.62,12316.62,1620.67,32351.19,90.69,2.8,0.179
ENT0001,2025-04-07,15,14173.15,7194.08,6979.07,54,49,0.1896,8496.75,1913.15,2210.62,12620.51,1552.64,32175.09,91.18,3.9,0.255
ENT0001,2025-04-14,16,11514.29,6422.95,5091.34,40,44,0.115,6902.93,1831.1,2210.62,10944.64,569.64,31563.7,91.2,17.0,0.323
ENT0001,2025-04-21,17,14229.96,8551.0,5678.96,46,47,0.2314,8552.66,1898.08,2210.62,12661.37,1568.59,31644.82,93.54,13.9,0.35
ENT0001,2025-04-28,18,13276.04,7568.1,5707.94,48,47,0.1945,7981.42,1788.14,2210.62,11980.18,1295.86,31280.01,93.79,11.6,0.323
